"ES"	"p_val"	"hits"	"hits_n"	"path"
"NPHP1 deletion syndrome"	-Inf	1	"NA"	0	"NPHP1 deletion syndrome"
"6q16 copy number variation"	-Inf	1	"NA"	0	"6q16 copy number variation"
"7q11 23 distal copy number variation"	-Inf	1	"NA"	0	"7q11 23 distal copy number variation"
"10q22q23 copy number variation"	3.83445007958447	0.00817630425749087	"92211;387695"	2	"10q22q23 copy number variation"
"13q12 or CRYL1 copy number variation "	-Inf	1	"NA"	0	"13q12 or CRYL1 copy number variation "
"13q12 12 copy number variation"	-Inf	1	"NA"	0	"13q12 12 copy number variation"
"15q11q13 copy number variation"	-Inf	1	"NA"	0	"15q11q13 copy number variation"
"15q25 copy number variation"	-Inf	1	"NA"	0	"15q25 copy number variation"
"PAFAH1B1 copy number variation"	-Inf	1	"NA"	0	"PAFAH1B1 copy number variation"
"Phosphatidyl inositol phosphate pathway"	-Inf	1	"NA"	0	"Phosphatidyl inositol phosphate pathway"
"8q11 23 RB1CC1 copy number variation"	-Inf	1	"NA"	0	"8q11 23 RB1CC1 copy number variation"
"IDO metabolic pathway"	-Inf	1	"NA"	0	"IDO metabolic pathway"
"Cell lineage map for neuronal differentiation"	1.87036965383941	0.238221104946549	"23504"	1	"Cell lineage map for neuronal differentiation"
"ADHD and autism ASD linked metabolic pathways and SNP"	1.19533180881641	0.183960497079301	"5289;26047"	2	"ADHD and autism ASD linked metabolic pathways and SNP"
"IL 19 signaling pathway"	-Inf	1	"NA"	0	"IL 19 signaling pathway"
"Omega 6 fatty acids in senescence"	-Inf	1	"NA"	0	"Omega 6 fatty acids in senescence"
"HDAC6 interactions in the central nervous system"	-Inf	1	"NA"	0	"HDAC6 interactions in the central nervous system"
"FGFR4 p G388R signaling pathway"	-Inf	1	"NA"	0	"FGFR4 p G388R signaling pathway"
"FLT3 p Gln640SerfsTer8 signaling pathway"	-Inf	1	"NA"	0	"FLT3 p Gln640SerfsTer8 signaling pathway"
"PGK1 PKM2 KHKC KHKA acting as protein kinases"	-Inf	1	"NA"	0	"PGK1 PKM2 KHKC KHKA acting as protein kinases"
"Pathways in cancer"	-Inf	0.631279865629153	"NA"	0	"Pathways in cancer"
"GNAQ pathways in port wine stain"	-Inf	1	"NA"	0	"GNAQ pathways in port wine stain"
"EPAC1 and PKA reduction of retinal inflammation"	-Inf	1	"NA"	0	"EPAC1 and PKA reduction of retinal inflammation"
"Artemisinin inhibition of uveal melanoma"	-Inf	1	"NA"	0	"Artemisinin inhibition of uveal melanoma"
"Wnt Beta catenin signaling inhibitors in current and past clinical trials"	-Inf	1	"NA"	0	"Wnt Beta catenin signaling inhibitors in current and past clinical trials"
"Acetaminophen in analgesia and antipyresis"	-Inf	1	"NA"	0	"Acetaminophen in analgesia and antipyresis"
"Hunger and satiety"	-Inf	1	"NA"	0	"Hunger and satiety"
"Complement activation"	-Inf	1	"NA"	0	"Complement activation"
"Biogenic amine synthesis"	-Inf	1	"NA"	0	"Biogenic amine synthesis"
"ACE inhibitor pathway"	-Inf	1	"NA"	0	"ACE inhibitor pathway"
"Complement and coagulation cascades"	-Inf	1	"NA"	0	"Complement and coagulation cascades"
"TGF beta receptor signaling"	-Inf	1	"NA"	0	"TGF beta receptor signaling"
"Heme biosynthesis"	-Inf	1	"NA"	0	"Heme biosynthesis"
"Monoamine GPCRs"	-Inf	1	"NA"	0	"Monoamine GPCRs"
"EPO receptor signaling"	-Inf	1	"NA"	0	"EPO receptor signaling"
"Interferon type I signaling pathways"	-Inf	1	"NA"	0	"Interferon type I signaling pathways"
"Notch signaling pathway"	-Inf	1	"NA"	0	"Notch signaling pathway"
"Type II interferon signaling"	-Inf	1	"NA"	0	"Type II interferon signaling"
"Oxidative phosphorylation"	3.01029991498389	0.112869511163678	"56901"	1	"Oxidative phosphorylation"
"Glucose homeostasis"	-Inf	1	"NA"	0	"Glucose homeostasis"
"ErbB signaling pathway"	-Inf	1	"NA"	0	"ErbB signaling pathway"
"Arachidonate epoxygenase epoxide hydrolase"	-Inf	1	"NA"	0	"Arachidonate epoxygenase epoxide hydrolase"
"Catalytic cycle of mammalian flavin containing monooxygenases FMOs "	-Inf	1	"NA"	0	"Catalytic cycle of mammalian flavin containing monooxygenases FMOs "
"T cell receptor signaling pathway"	-Inf	1	"NA"	0	"T cell receptor signaling pathway"
"Polyol pathway"	-Inf	1	"NA"	0	"Polyol pathway"
"Tamoxifen metabolism"	-Inf	1	"NA"	0	"Tamoxifen metabolism"
"Sulfation biotransformation reaction"	-Inf	1	"NA"	0	"Sulfation biotransformation reaction"
"Arylamine metabolism"	-Inf	1	"NA"	0	"Arylamine metabolism"
"Benzo a pyrene metabolism"	-Inf	1	"NA"	0	"Benzo a pyrene metabolism"
"Glucuronidation"	-Inf	1	"NA"	0	"Glucuronidation"
"Aflatoxin B1 metabolism"	-Inf	1	"NA"	0	"Aflatoxin B1 metabolism"
"Metapathway biotransformation Phase I and II"	-Inf	1	"NA"	0	"Metapathway biotransformation Phase I and II"
"Methylation pathways"	-Inf	1	"NA"	0	"Methylation pathways"
"Sudden infant death syndrome SIDS susceptibility pathways"	-Inf	1	"NA"	0	"Sudden infant death syndrome SIDS susceptibility pathways"
"DNA damage response"	-Inf	1	"NA"	0	"DNA damage response"
"DNA damage response only ATM dependent "	1.84632417987276	0.222214244919388	"5289"	1	"DNA damage response only ATM dependent "
"Estrogen signaling pathway"	-Inf	1	"NA"	0	"Estrogen signaling pathway"
"Vitamin A and carotenoid metabolism"	-Inf	1	"NA"	0	"Vitamin A and carotenoid metabolism"
"Serotonin HTR1 group and FOS pathway"	-Inf	1	"NA"	0	"Serotonin HTR1 group and FOS pathway"
"Monoamine transport"	-Inf	1	"NA"	0	"Monoamine transport"
"Serotonin receptor 2 and ELK SRF GATA4 signaling"	-Inf	1	"NA"	0	"Serotonin receptor 2 and ELK SRF GATA4 signaling"
"Serotonin receptor 4 6 7 and NR3C signaling"	-Inf	1	"NA"	0	"Serotonin receptor 4 6 7 and NR3C signaling"
"Toll like receptor signaling pathway"	-Inf	1	"NA"	0	"Toll like receptor signaling pathway"
"TCA cycle aka Krebs or citric acid cycle "	-Inf	1	"NA"	0	"TCA cycle aka Krebs or citric acid cycle "
"Nucleotide GPCRs"	-Inf	1	"NA"	0	"Nucleotide GPCRs"
"Prostaglandin synthesis and regulation"	-Inf	1	"NA"	0	"Prostaglandin synthesis and regulation"
